date,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-1-1 0:00,4.6,8.2,12.34,6.13,0.089,0.127,1.52,460.3,148.3,0.001,9183910.0
2021-1-1 4:00,4.4,8.19,12.36,6.3,0.034,0.172,1.0,427.2,176.9,0.002,9647630.0
2021-1-1 8:00,4.2,8.23,12.35,5.25,0.156,0.085,1.88,498.3,108.6,0.001,5592200.0
2021-1-1 12:00,4.5,8.23,12.42,5.36,0.166,0.095,1.94,494.7,111.2,0.001,5602850.0
2021-1-1 16:00,5.0,8.22,12.38,5.79,0.036,0.107,1.04,422.5,137.6,0.001,6118320.0
2021-1-1 20:00,4.6,8.19,12.16,5.41,0.051,0.101,1.08,427.6,111.7,0.001,2049430.0
2021-1-2 0:00,4.8,8.07,11.42,5.08,0.061,0.027,1.12,427.8,87.9,0.001,1645330.0
2021-1-2 4:00,4.8,8.03,10.96,5.31,0.026,-1.0,0.94,418.3,90.1,0.001,1618550.0
2021-1-2 8:00,4.8,8.0,11.11,5.31,0.039,0.064,0.9,392.7,104.8,0.002,2244440.0
2021-1-2 12:00,5.2,8.01,11.26,5.06,0.048,0.069,0.92,396.1,92.5,0.002,2011230.0
2021-1-2 16:00,6.4,8.16,12.28,4.51,0.137,0.059,1.76,399.4,82.7,0.002,2305630.0
2021-1-2 20:00,5.4,8.19,12.55,4.92,0.075,0.044,1.24,420.6,75.5,0.001,1940600.0
2021-1-3 0:00,5.0,8.19,12.27,4.92,0.063,0.044,1.24,419.5,77.7,0.001,1643140.0
2021-1-3 4:00,5.1,8.17,12.3,4.84,0.062,0.064,1.11,418.2,75.1,0.001,3109600.0
2021-1-3 8:00,5.0,8.17,12.36,4.79,0.062,0.058,1.06,415.5,76.6,0.001,1521940.0
2021-1-3 12:00,5.4,8.18,12.37,4.77,0.067,0.066,0.99,415.4,73.8,0.001,1686160.0
2021-1-3 16:00,5.8,8.22,12.45,4.33,0.112,0.054,1.43,455.7,48.9,0.001,1040420.0
2021-1-3 20:00,5.8,8.23,12.44,4.37,0.147,0.061,1.7,467.7,43.8,0.001,1005750.0
2021-1-4 0:00,5.8,8.24,12.42,4.37,0.161,0.061,1.7,485.8,38.0,0.002,1013810.0
2021-1-4 4:00,5.7,8.25,12.42,4.38,0.161,0.045,1.96,490.2,35.9,0.002,6216210.0
2021-1-4 8:00,5.5,8.24,12.31,4.37,0.159,0.049,1.75,479.3,32.9,0.001,870321.0
2021-1-4 12:00,5.7,8.24,12.28,4.26,0.145,0.06,1.67,462.8,36.1,0.001,769574.0
2021-1-4 16:00,5.9,8.22,12.2,4.28,0.129,0.049,1.52,455.4,35.7,0.001,845581.0
2021-1-4 20:00,6.0,8.24,12.43,4.29,0.149,0.046,1.71,468.5,28.5,0.002,693724.0
2021-1-5 0:00,6.1,8.25,12.4,4.29,0.155,0.045,1.74,469.4,27.0,0.002,840430.0
2021-1-5 4:00,6.1,8.24,12.37,4.27,0.154,0.055,1.74,469.5,27.2,0.002,2276330.0
2021-1-5 8:00,6.2,8.22,12.34,4.18,0.132,0.049,1.57,457.2,34.3,0.001,1003530.0
2021-1-5 12:00,6.3,8.21,12.33,4.45,0.127,0.057,1.6,455.9,52.4,0.001,1105320.0
2021-1-5 16:00,6.5,8.2,12.31,4.68,0.116,0.057,1.49,449.0,52.5,0.001,1337290.0
2021-1-5 20:00,6.4,8.23,12.32,5.03,0.131,0.075,1.76,467.4,74.2,0.002,1764010.0
2021-1-6 0:00,6.3,8.24,12.29,5.03,0.148,0.075,1.76,477.2,65.2,0.002,1619920.0
2021-1-6 4:00,6.3,8.25,12.26,4.79,0.155,0.062,1.97,488.8,61.9,0.002,1546470.0
2021-1-6 8:00,6.3,8.25,12.18,4.7,0.154,0.064,1.97,492.2,51.3,0.002,1519160.0
2021-1-6 12:00,6.3,8.25,12.17,4.46,0.152,0.058,1.94,481.9,42.7,0.002,1266610.0
2021-1-6 16:00,6.3,8.25,12.15,4.08,0.16,0.049,1.9,481.4,36.0,0.002,802856.0
2021-1-6 20:00,6.3,8.2,12.13,4.63,0.167,0.068,1.96,487.4,53.1,0.002,1233250.0
2021-1-7 0:00,6.0,8.18,12.08,4.63,0.095,0.068,1.31,433.3,99.4,0.001,2142190.0
2021-1-7 4:00,5.8,8.18,12.14,5.65,0.096,0.117,1.52,446.4,111.8,0.002,2509360.0
2021-1-7 8:00,5.3,8.19,12.21,5.95,0.11,0.131,1.68,461.4,133.5,0.002,-1.0
2021-1-7 12:00,5.1,8.25,12.37,5.85,0.125,0.085,2.28,513.4,135.3,0.003,-1.0
2021-1-7 16:00,4.9,8.26,12.43,6.23,-1.0,-1.0,2.26,512.3,150.1,0.003,-1.0
2021-1-7 20:00,4.4,8.28,12.5,5.98,0.107,-1.0,2.1,514.5,145.4,0.004,-1.0
2021-1-8 0:00,3.9,8.27,12.58,5.98,-1.0,-1.0,2.06,510.6,159.6,0.005,-1.0
2021-1-8 4:00,3.4,8.27,12.69,5.97,0.09,-1.0,2.19,521.3,154.4,0.003,-1.0
2021-1-8 8:00,2.9,8.27,12.78,6.34,0.111,0.136,2.0,508.8,174.3,0.003,-1.0
2021-1-8 12:00,3.0,8.24,12.91,6.16,-1.0,0.11,1.52,466.9,186.9,0.002,-1.0
2021-1-8 16:00,3.3,8.23,12.92,6.83,0.081,0.138,1.97,516.5,191.5,0.003,-1.0
2021-1-8 20:00,3.0,8.27,12.96,6.13,-1.0,-1.0,2.1,519.9,142.3,0.004,-1.0
2021-1-9 0:00,2.8,8.26,13.02,6.13,0.104,0.025,1.95,510.7,141.7,0.003,1407170.0
2021-1-9 4:00,2.6,8.26,13.0,6.25,-1.0,0.038,2.0,512.0,146.3,0.004,-1.0
2021-1-9 8:00,2.4,8.25,13.05,6.25,0.089,0.111,2.08,500.0,142.8,0.004,1590120.0
2021-1-9 12:00,2.7,8.26,13.1,5.94,0.096,0.094,1.82,487.3,132.9,0.003,-1.0
2021-1-9 16:00,3.2,8.24,13.12,5.51,0.106,0.089,1.67,469.8,108.3,0.002,-1.0
2021-1-9 20:00,3.0,8.25,13.09,5.48,0.107,0.011,1.64,470.0,94.3,0.003,-1.0
2021-1-10 0:00,2.9,8.27,13.13,5.48,0.088,-1.0,1.52,474.8,83.7,0.004,-1.0
2021-1-10 4:00,2.8,8.27,13.09,5.3,-1.0,0.069,1.84,476.6,73.3,0.004,-1.0
2021-1-10 8:00,2.7,8.29,13.07,5.23,0.079,0.037,1.99,483.3,64.6,0.005,-1.0
2021-1-10 12:00,3.0,8.34,13.12,5.31,0.06,0.049,2.07,499.9,56.7,0.006,-1.0
2021-1-10 16:00,3.4,8.36,13.28,5.41,0.06,0.036,2.21,504.2,56.0,0.008,-1.0
2021-1-10 20:00,3.3,8.37,13.27,5.3,0.054,0.013,2.26,510.4,50.1,0.008,-1.0
2021-1-11 0:00,3.3,8.36,13.27,5.3,0.075,0.005,2.33,508.9,48.1,0.009,-1.0
2021-1-11 4:00,3.1,8.35,13.14,5.32,0.088,-1.0,2.27,504.9,44.9,0.008,-1.0
2021-1-11 8:00,3.1,8.32,13.19,5.23,0.106,0.038,2.27,497.0,44.3,0.007,-1.0
2021-1-11 12:00,3.4,8.3,13.25,5.24,0.131,0.041,2.2,479.0,45.9,0.005,-1.0
2021-1-11 16:00,3.8,8.29,13.26,5.42,0.168,0.038,2.2,463.8,66.2,0.004,-1.0
2021-1-11 20:00,3.6,8.25,13.14,5.91,0.184,0.061,2.1,451.9,95.8,0.004,-1.0
2021-1-12 0:00,3.5,8.3,13.16,5.91,0.128,0.018,2.15,475.5,77.2,0.005,845178.0
2021-1-12 4:00,3.3,8.33,13.22,5.43,0.074,0.018,2.19,498.9,67.2,0.007,961206.0
2021-1-12 8:00,3.2,8.31,13.23,5.45,0.068,0.059,2.16,502.4,72.6,0.006,1148830.0
2021-1-12 12:00,3.6,8.28,13.18,5.45,0.084,0.059,2.04,494.2,84.1,0.004,1166890.0
2021-1-12 16:00,4.1,8.26,12.54,5.0,0.121,0.079,1.83,476.7,67.0,0.003,1183670.0
2021-1-12 20:00,4.0,8.27,12.65,5.15,0.117,0.058,1.87,476.8,64.6,0.003,1526890.0
2021-1-13 0:00,3.9,8.34,12.79,5.15,0.051,0.034,2.24,505.6,52.3,0.007,1896540.0
2021-1-13 4:00,3.8,8.26,12.62,4.94,0.118,0.063,1.98,482.3,53.8,0.003,1041360.0
2021-1-13 8:00,3.6,8.18,12.65,4.96,0.102,0.066,1.28,439.3,61.9,0.003,952111.0
2021-1-13 12:00,4.1,8.22,12.71,4.95,0.08,0.07,1.2,439.4,55.6,0.002,910272.0
2021-1-13 16:00,4.5,8.27,12.84,4.86,0.055,0.054,1.1,432.5,46.2,0.004,768386.0
2021-1-13 20:00,4.4,8.3,12.81,4.95,0.053,0.043,1.13,435.6,33.9,0.006,800254.0
2021-1-14 0:00,4.0,8.3,12.78,4.95,0.054,0.043,1.13,437.8,28.9,0.005,672276.0
2021-1-14 4:00,4.5,8.29,12.79,4.93,0.045,0.005,1.13,438.6,24.1,0.004,1241660.0
2021-1-14 8:00,4.6,8.29,12.74,4.65,0.055,0.036,1.18,436.0,23.0,0.006,684498.0
2021-1-14 12:00,4.8,8.35,12.99,4.74,0.056,0.045,1.17,436.4,21.8,0.005,595060.0
2021-1-14 16:00,5.6,8.38,13.19,4.64,0.054,0.042,1.26,437.0,24.6,0.004,609238.0
2021-1-14 20:00,5.0,8.26,12.67,4.56,0.093,0.039,1.42,449.2,26.4,0.003,286030.0
2021-1-15 0:00,5.1,8.32,12.93,4.56,0.064,0.046,1.36,454.8,26.6,0.004,897221.0
2021-1-15 4:00,5.0,8.32,12.86,4.6,0.052,0.032,1.3,448.8,23.6,0.005,574537.0
2021-1-15 8:00,5.2,8.37,13.06,4.7,0.038,0.036,1.09,433.6,20.1,0.005,729372.0
2021-1-15 12:00,6.2,8.42,13.22,4.62,0.041,0.04,1.12,433.8,18.0,0.003,601680.0
2021-1-15 16:00,6.7,8.47,13.58,4.73,0.065,0.042,1.24,434.2,15.2,0.005,547496.0
2021-1-15 20:00,5.9,8.25,12.62,5.0,0.087,0.052,1.48,448.4,32.2,0.004,643474.0
2021-1-16 0:00,5.9,8.24,12.54,4.99,0.085,0.054,1.45,438.5,62.2,0.004,1129840.0
2021-1-16 4:00,5.8,8.24,12.43,5.34,0.068,0.078,1.53,448.2,68.7,0.004,1408230.0
2021-1-16 8:00,5.7,8.27,12.38,-1.0,0.077,0.071,1.59,455.6,-1.0,0.005,1219910.0
2021-1-16 12:00,5.9,8.3,12.39,-1.0,0.096,0.061,1.63,462.3,-1.0,0.004,690403.0
2021-1-16 16:00,6.7,9.18,12.17,-1.0,0.075,0.061,1.63,2.1,-1.0,-1.0,1791620.0
2021-1-16 20:00,6.0,8.28,12.35,5.32,0.099,0.088,1.74,466.5,-1.0,0.004,1793880.0
2021-1-17 0:00,5.8,8.26,12.29,5.32,0.068,0.053,1.54,454.4,-1.0,0.004,1351900.0
2021-1-17 4:00,5.6,8.24,12.23,5.1,0.067,0.035,1.53,452.9,-1.0,0.004,1108460.0
2021-1-17 8:00,5.4,8.24,12.19,5.12,0.079,0.062,1.64,458.9,54.6,0.004,1367230.0
2021-1-17 12:00,5.8,8.28,12.18,4.98,0.109,0.06,2.03,474.7,46.9,0.003,743162.0
2021-1-17 16:00,6.2,8.28,12.25,4.96,0.123,0.058,2.1,472.4,43.0,0.003,541650.0
2021-1-17 20:00,6.0,8.27,12.16,5.04,0.176,0.049,2.27,467.4,36.7,0.003,573184.0
2021-1-18 0:00,5.8,8.25,12.12,5.23,0.278,0.05,2.46,464.0,48.1,0.003,825740.0
2021-1-18 4:00,5.6,8.26,12.09,5.04,0.255,0.035,2.39,464.7,40.9,0.003,698824.0
2021-1-18 8:00,5.5,8.27,12.1,5.16,0.37,0.065,2.68,465.0,38.6,0.003,779913.0
2021-1-18 12:00,5.9,8.28,12.18,5.03,0.37,0.067,2.64,464.1,40.5,0.003,698834.0
2021-1-18 16:00,6.5,8.32,12.29,5.02,0.356,0.065,2.6,456.2,31.6,0.003,591620.0
2021-1-18 20:00,6.2,8.28,12.12,4.91,0.31,0.057,2.16,440.2,33.5,0.003,491337.0
2021-1-19 0:00,6.0,8.26,12.09,4.92,0.306,0.045,2.14,437.3,31.5,0.002,407174.0
2021-1-19 4:00,5.9,8.22,12.0,4.71,0.296,0.058,2.03,433.1,31.1,0.002,376455.0
2021-1-19 8:00,5.8,8.19,11.99,4.74,0.272,0.048,1.93,426.8,28.9,0.002,390941.0
2021-1-19 12:00,6.3,8.18,12.03,4.85,0.24,0.065,1.68,417.8,43.9,0.002,791195.0
2021-1-19 16:00,6.7,8.21,12.09,5.06,0.254,0.072,1.88,423.9,45.3,0.002,715077.0
2021-1-19 20:00,6.7,8.21,11.99,5.25,0.258,0.08,1.93,424.0,57.6,0.002,1100250.0
2021-1-20 0:00,6.6,8.21,11.94,5.54,0.301,0.099,2.27,438.7,73.1,0.002,1046580.0
2021-1-20 4:00,6.7,8.26,11.93,5.4,0.085,0.092,1.75,460.1,67.5,0.003,1144690.0
2021-1-20 8:00,6.7,8.33,11.97,5.3,0.032,0.063,1.28,443.3,46.3,0.005,1059090.0
2021-1-20 12:00,7.3,8.37,12.05,5.18,0.033,0.056,1.02,434.6,32.8,-1.0,1062840.0
2021-1-20 16:00,7.8,-1.0,12.36,5.27,0.033,0.05,1.44,451.4,32.5,0.005,1121130.0
2021-1-20 20:00,7.6,-1.0,12.1,4.99,0.12,0.052,1.97,459.5,36.3,0.004,918344.0
2021-1-21 0:00,7.7,-1.0,11.98,5.03,0.115,0.053,1.9,458.9,36.9,0.004,805998.0
2021-1-21 4:00,7.7,-1.0,11.86,5.01,0.179,0.051,2.2,457.4,36.0,0.003,710499.0
2021-1-21 8:00,7.8,-1.0,11.84,4.85,0.165,0.05,2.11,459.2,31.4,0.004,879728.0
2021-1-21 12:00,8.1,-1.0,12.35,4.74,0.161,0.048,2.1,457.8,27.6,0.006,1262170.0
2021-1-21 16:00,8.5,-1.0,12.6,5.28,0.086,0.046,1.72,452.3,20.6,0.005,1120570.0
2021-1-21 20:00,8.5,-1.0,12.72,5.18,0.076,0.046,1.35,442.4,18.1,0.008,1471140.0
2021-1-22 0:00,8.5,-1.0,12.53,5.18,0.057,0.043,1.52,447.3,18.9,0.007,1278410.0
2021-1-22 4:00,8.4,-1.0,12.3,4.98,0.056,0.042,1.54,448.6,18.2,0.006,1131300.0
2021-1-22 8:00,8.3,-1.0,11.98,4.61,0.055,0.037,1.37,444.5,16.4,0.005,863279.0
2021-1-22 12:00,8.4,-1.0,11.91,5.06,0.046,0.036,1.16,434.5,15.6,0.005,271507.0
2021-1-22 16:00,8.5,-1.0,12.08,5.1,0.044,0.038,1.35,442.3,16.6,0.005,947587.0
2021-1-22 20:00,8.5,-1.0,11.92,4.75,0.048,0.038,1.35,441.6,15.3,0.005,798129.0
2021-1-23 0:00,8.5,-1.0,11.77,4.75,0.047,0.038,1.14,431.9,15.8,0.005,801438.0
2021-1-23 4:00,8.5,-1.0,11.73,4.71,0.051,0.034,0.94,441.3,13.8,0.005,676572.0
2021-1-23 8:00,8.5,-1.0,11.67,4.79,0.065,0.035,1.19,446.1,14.3,0.004,178577.0
2021-1-23 12:00,8.5,-1.0,11.79,5.02,0.06,0.039,1.57,445.7,22.4,0.005,489067.0
2021-1-23 16:00,8.6,-1.0,11.78,5.18,0.077,0.04,1.64,445.8,22.5,0.004,398511.0
2021-1-23 20:00,8.6,-1.0,11.76,4.88,0.074,0.04,1.57,445.0,16.5,0.006,986899.0
2021-1-24 0:00,8.4,-1.0,11.6,4.88,0.086,0.04,1.4,435.4,21.0,0.005,856854.0
2021-1-24 4:00,8.5,-1.0,11.53,4.89,0.093,0.041,1.7,447.8,19.4,0.005,927479.0
2021-1-24 8:00,8.4,-1.0,11.53,4.93,0.08,0.039,1.15,438.3,13.6,0.005,443823.0
2021-1-24 12:00,8.6,-1.0,11.9,5.47,0.081,0.043,1.6,445.3,13.4,0.005,514670.0
2021-1-24 16:00,9.8,-1.0,11.28,5.47,0.071,0.043,1.6,1.6,1.4,0.023,28959600.0
2021-1-24 20:00,8.7,-1.0,12.33,5.0,0.069,0.042,1.03,438.5,10.9,0.01,1527410.0
2021-1-25 0:00,8.6,-1.0,11.87,4.97,0.08,0.037,1.17,439.1,11.2,0.006,403102.0
2021-1-25 4:00,8.6,-1.0,11.76,5.01,0.085,0.037,1.17,438.4,8.5,0.005,304827.0
2021-1-25 8:00,8.6,-1.0,11.62,4.68,0.096,0.034,1.28,437.3,7.6,0.004,182790.0
2021-1-25 12:00,8.9,-1.0,11.87,4.87,0.087,0.035,1.18,439.0,6.8,0.003,132806.0
2021-1-25 16:00,9.2,-1.0,12.21,4.91,0.075,0.032,1.18,439.7,6.4,0.006,447423.0
2021-1-25 20:00,9.2,-1.0,12.14,4.91,0.069,0.032,1.18,438.8,6.3,0.007,586654.0
2021-1-26 8:00,8.9,-1.0,11.33,5.22,0.143,0.073,1.95,449.0,-1.0,0.003,530122.0
2021-1-26 12:00,8.8,-1.0,11.21,5.75,0.184,0.108,2.19,451.5,-1.0,0.002,923596.0
2021-1-26 16:00,8.7,-1.0,11.14,5.96,0.241,0.131,2.29,445.8,-1.0,0.002,1151110.0
2021-1-26 20:00,8.6,-1.0,11.1,5.65,0.245,0.109,2.23,444.9,-1.0,0.002,640068.0
2021-1-27 0:00,8.6,-1.0,11.18,5.65,0.217,0.081,2.28,456.9,-1.0,0.003,760113.0
2021-1-27 4:00,8.6,-1.0,11.14,5.21,0.222,0.066,2.27,460.8,50.8,0.003,593204.0
2021-1-27 8:00,8.5,-1.0,11.08,5.27,0.229,0.072,2.21,461.0,55.5,0.002,580348.0
2021-1-27 12:00,9.3,-1.0,11.21,5.48,0.226,0.075,2.17,449.9,45.7,0.001,260592.0
2021-1-27 16:00,-1.0,-1.0,-1.0,4.96,0.236,0.063,1.98,-1.0,-1.0,-1.0,-1.0
2021-1-27 20:00,-1.0,-1.0,-1.0,4.92,0.242,0.058,1.9,-1.0,-1.0,-1.0,-1.0
2021-1-28 0:00,-1.0,-1.0,-1.0,4.92,0.244,0.052,1.92,-1.0,-1.0,-1.0,-1.0
2021-1-28 4:00,-1.0,-1.0,-1.0,8.42,0.245,0.048,1.92,-1.0,-1.0,-1.0,-1.0
2021-1-28 8:00,-1.0,-1.0,-1.0,5.49,0.2,0.109,2.31,-1.0,-1.0,-1.0,-1.0
2021-1-28 12:00,-1.0,-1.0,-1.0,7.02,0.131,0.129,2.49,-1.0,-1.0,-1.0,-1.0
2021-1-28 16:00,-1.0,-1.0,-1.0,6.91,0.129,0.111,2.54,-1.0,-1.0,-1.0,-1.0
2021-1-28 20:00,-1.0,-1.0,-1.0,7.66,0.151,0.113,2.52,-1.0,-1.0,-1.0,-1.0
2021-1-29 0:00,-1.0,-1.0,-1.0,7.66,0.202,0.113,2.52,-1.0,-1.0,-1.0,-1.0
2021-1-29 4:00,-1.0,-1.0,-1.0,5.48,0.141,0.096,2.07,-1.0,-1.0,-1.0,-1.0
2021-1-29 8:00,-1.0,-1.0,-1.0,5.24,0.157,0.086,2.54,-1.0,-1.0,-1.0,-1.0
2021-1-29 12:00,-1.0,-1.0,-1.0,-1.0,0.189,0.082,2.57,-1.0,-1.0,-1.0,-1.0
2021-1-29 16:00,-1.0,-1.0,-1.0,-1.0,0.221,0.078,2.42,-1.0,-1.0,-1.0,-1.0
2021-1-29 20:00,-1.0,-1.0,-1.0,4.35,0.219,0.079,2.61,-1.0,-1.0,-1.0,-1.0
2021-1-30 0:00,-1.0,-1.0,-1.0,4.35,0.216,0.097,2.61,-1.0,-1.0,-1.0,-1.0
2021-1-30 4:00,-1.0,-1.0,-1.0,4.34,0.126,0.076,1.98,-1.0,-1.0,-1.0,-1.0
2021-1-30 8:00,-1.0,-1.0,-1.0,4.12,0.081,0.072,1.8,-1.0,-1.0,-1.0,-1.0
2021-1-30 12:00,-1.0,-1.0,-1.0,8.2,0.067,0.058,1.39,-1.0,-1.0,-1.0,-1.0
2021-1-30 16:00,-1.0,-1.0,-1.0,4.47,0.073,0.046,1.3,-1.0,-1.0,-1.0,-1.0
2021-1-30 20:00,-1.0,-1.0,-1.0,3.74,0.063,0.044,1.44,-1.0,-1.0,-1.0,-1.0
2021-1-31 0:00,-1.0,-1.0,-1.0,3.74,0.061,0.04,1.36,-1.0,-1.0,-1.0,-1.0
2021-1-31 4:00,-1.0,-1.0,-1.0,3.61,0.058,0.041,1.33,-1.0,-1.0,-1.0,-1.0
2021-1-31 8:00,-1.0,-1.0,-1.0,5.83,0.056,0.037,1.32,-1.0,-1.0,-1.0,-1.0
2021-1-31 12:00,-1.0,-1.0,-1.0,12.15,0.061,0.039,1.32,-1.0,-1.0,-1.0,-1.0
2021-1-31 16:00,-1.0,-1.0,-1.0,3.52,0.059,0.036,1.31,-1.0,-1.0,-1.0,-1.0
2021-1-31 20:00,-1.0,-1.0,-1.0,3.43,0.069,0.036,1.26,-1.0,-1.0,-1.0,-1.0
2021-2-1 0:00,-1.0,-1.0,-1.0,3.43,0.049,0.036,1.3,-1.0,-1.0,-1.0,-1.0
2021-2-1 4:00,-1.0,-1.0,-1.0,3.56,0.052,0.037,1.3,-1.0,-1.0,-1.0,-1.0
2021-2-1 8:00,-1.0,-1.0,-1.0,3.52,0.057,0.037,0.95,-1.0,-1.0,-1.0,-1.0
2021-2-1 12:00,-1.0,-1.0,-1.0,3.68,0.056,0.036,1.3,-1.0,-1.0,-1.0,-1.0
2021-2-1 16:00,-1.0,-1.0,-1.0,3.41,0.072,0.037,0.92,-1.0,-1.0,-1.0,-1.0
2021-2-1 20:00,-1.0,-1.0,-1.0,3.31,0.069,0.035,0.87,-1.0,-1.0,-1.0,-1.0
2021-2-2 0:00,-1.0,-1.0,-1.0,3.31,0.097,0.032,1.01,-1.0,-1.0,-1.0,-1.0
2021-2-2 4:00,-1.0,-1.0,-1.0,5.49,0.086,0.049,1.34,-1.0,-1.0,-1.0,-1.0
2021-2-2 8:00,-1.0,-1.0,-1.0,3.24,0.102,0.052,1.52,-1.0,-1.0,-1.0,-1.0
2021-2-2 12:00,-1.0,-1.0,-1.0,4.4,0.079,0.056,1.29,-1.0,-1.0,-1.0,-1.0
2021-2-2 16:00,-1.0,-1.0,-1.0,4.36,0.073,0.045,1.28,-1.0,-1.0,-1.0,-1.0
2021-2-2 20:00,-1.0,-1.0,-1.0,3.67,0.076,0.047,1.37,-1.0,-1.0,-1.0,-1.0
